path,label,classification
mink_0334.jpg,mink,0
otter_0894.jpg,otter,1
otter_0010.jpg,otter,1
polecat_0865.jpg,polecat,3
otter_0193.jpg,otter,1
pinemarten_0515.jpg,pinemarten,2
stoat_0814.jpg,stoat,4
polecat_0339.jpg,polecat,3
otter_0975.jpg,otter,1
weasel_0027.jpg,weasel,5
mink_0187.jpg,mink,0
otter_0215.jpg,otter,1
weasel_0557.jpg,weasel,5
weasel_0630.jpg,weasel,5
otter_0597.jpg,otter,1
mink_0291.jpg,mink,0
pinemarten_0488.jpg,pinemarten,2
pinemarten_0946.jpg,pinemarten,2
stoat_0182.jpg,stoat,4
otter_0022.jpg,otter,1
polecat_0229.jpg,polecat,3
polecat_0540.jpg,polecat,3
pinemarten_0256.jpg,pinemarten,2
stoat_0131.jpg,stoat,4
weasel_0290.jpg,weasel,5
polecat_0684.jpg,polecat,3
weasel_0872.jpg,weasel,5
otter_0690.jpg,otter,1
polecat_0138.jpg,polecat,3
otter_0969.jpg,otter,1
stoat_0572.jpg,stoat,4
pinemarten_0087.jpg,pinemarten,2
polecat_0821.jpg,polecat,3
weasel_0706.jpg,weasel,5
pinemarten_0657.jpg,pinemarten,2
otter_0585.jpg,otter,1
otter_0217.jpg,otter,1
weasel_0346.jpg,weasel,5
polecat_0231.jpg,polecat,3
otter_0457.jpg,otter,1
otter_0119.jpg,otter,1
otter_0352.jpg,otter,1
otter_0698.jpg,otter,1
mink_0818.jpg,mink,0
otter_0389.jpg,otter,1
stoat_0429.jpg,stoat,4
otter_0876.jpg,otter,1
pinemarten_0202.jpg,pinemarten,2
polecat_0622.jpg,polecat,3
pinemarten_0733.jpg,pinemarten,2
pinemarten_0668.jpg,pinemarten,2
pinemarten_0188.jpg,pinemarten,2
stoat_0720.jpg,stoat,4
weasel_0762.jpg,weasel,5
weasel_0732.jpg,weasel,5
pinemarten_0505.jpg,pinemarten,2
otter_0866.jpg,otter,1
weasel_0603.jpg,weasel,5
stoat_0371.jpg,stoat,4
pinemarten_0645.jpg,pinemarten,2
polecat_0912.jpg,polecat,3
otter_0262.jpg,otter,1
polecat_0376.jpg,polecat,3
pinemarten_0535.jpg,pinemarten,2
weasel_0462.jpg,weasel,5
otter_0980.jpg,otter,1
pinemarten_0452.jpg,pinemarten,2
stoat_0027.jpg,stoat,4
weasel_0772.jpg,weasel,5
weasel_0250.jpg,weasel,5
polecat_0488.jpg,polecat,3
pinemarten_0790.jpg,pinemarten,2
pinemarten_0889.jpg,pinemarten,2
otter_0476.jpg,otter,1
polecat_0184.jpg,polecat,3
