path,classification,label
0_0_mink_0878.jpg,0,mink
0_0_otter_0335.jpg,1,otter
0_0_polecat_0431.jpg,3,polecat
0_0_mink_0308.jpg,0,mink
0_0_stoat_0827.jpg,4,stoat
0_0_stoat_0837.jpg,4,stoat
0_0_weasel_0005.jpg,5,weasel
0_0_stoat_0702.jpg,4,stoat
0_0_otter_0758.jpg,1,otter
0_0_mink_0750.jpg,0,mink
0_0_pinemarten_0474.jpg,2,pinemarten
0_0_pinemarten_0888.jpg,2,pinemarten
0_0_pinemarten_0092.jpg,2,pinemarten
0_0_weasel_0330.jpg,5,weasel
0_0_polecat_0084.jpg,3,polecat
0_0_otter_0430.jpg,1,otter
0_0_pinemarten_0090.jpg,2,pinemarten
0_0_mink_0260.jpg,0,mink
0_0_pinemarten_0213.jpg,2,pinemarten
0_0_mink_0226.jpg,0,mink
0_0_mink_0622.jpg,0,mink
0_0_otter_0761.jpg,1,otter
0_0_mink_0668.jpg,0,mink
0_0_mink_0112.jpg,0,mink
0_0_polecat_0971.jpg,3,polecat
0_0_weasel_0396.jpg,5,weasel
0_0_stoat_0726.jpg,4,stoat
0_0_pinemarten_0356.jpg,2,pinemarten
0_0_weasel_0235.jpg,5,weasel
0_0_stoat_0691.jpg,4,stoat
0_0_otter_0922.jpg,1,otter
0_1_otter_0922.jpg,1,otter
0_0_mink_0911.jpg,0,mink
0_1_mink_0911.jpg,0,mink
0_0_stoat_0339.jpg,4,stoat
0_0_pinemarten_0940.jpg,2,pinemarten
0_1_pinemarten_0940.jpg,2,pinemarten
0_0_otter_0352.jpg,1,otter
0_0_weasel_0402.jpg,5,weasel
0_0_mink_0746.jpg,0,mink
0_0_pinemarten_0985.jpg,2,pinemarten
0_0_stoat_0217.jpg,4,stoat
0_1_stoat_0217.jpg,4,stoat
0_0_stoat_0597.jpg,4,stoat
0_0_polecat_0869.jpg,3,polecat
0_0_mink_0348.jpg,0,mink
0_1_mink_0348.jpg,0,mink
0_0_otter_0032.jpg,1,otter
0_0_polecat_0755.jpg,3,polecat
0_1_polecat_0755.jpg,3,polecat
0_0_pinemarten_0921.jpg,2,pinemarten
0_0_otter_0433.jpg,1,otter
1_0_polecat_0280.jpg,3,polecat
0_0_mink_0797.jpg,0,mink
0_0_polecat_0674.jpg,3,polecat
0_0_mink_0261.jpg,0,mink
0_0_stoat_0640.jpg,4,stoat
0_0_stoat_0624.jpg,4,stoat
0_0_polecat_0530.jpg,3,polecat
0_0_weasel_0599.jpg,5,weasel
0_0_otter_0429.jpg,1,otter
0_0_polecat_0553.jpg,3,polecat
